"result","player","converted_x","converted_y","shot_distance","shot_x","shot_y"
"made","Larry Sanders",19.2,24.2,20,19.2,24.2
"made","Shaun Livingston",34.5,10.5,11,34.5,10.5
"made","Byron Mullens",9.5,78.3,19,40.5,15.7
"made","Shaun Livingston",29.9,11.1,8,29.9,11.1
"made","Matt Carroll",19.4,69.5,20,30.6,24.5
"made","Byron Mullens",36.9,76.1,18,13.1,17.9
"made","Beno Udrih",35.3,16.9,16,35.3,16.9
"made","Larry Sanders",24.3,5.1,1,24.3,5.1
"made","Shaun Livingston",9.6,6.4,15,9.6,6.4
"made","Derrick Brown",18.2,72.6,18,31.8,21.4
"made","Kemba Walker",25.2,68.1,21,24.8,25.9
"made","Beno Udrih",33.2,20.1,17,33.2,20.1
"made","Shaun Livingston",34.8,11.3,12,34.8,11.3
"made","Boris Diaw",9.8,80.4,17,40.2,13.6
"made","Corey Maggette",24.5,85.1,4,25.5,8.90000000000001
"made","Beno Udrih",28.8,9.5,6,28.8,9.5
"made","Boris Diaw",3.7,74.2,26,46.3,19.8
"made","D.J. Augustin",19.4,86.7,6,30.6,7.3
"made","Brandon Jennings",30.9,19,15,30.9,19
"made","Corey Maggette",38.5,77.4,18,11.5,16.6
"made","Corey Maggette",11.1,75.8,19,38.9,18.2
"made","Andrew Bogut",30.9,5.7,6,30.9,5.7
"made","Ersan Ilyasova",28,7,4,28,7
"made","Corey Maggette",27.9,86,4,22.1,8
"made","D.J. Augustin",2.2,84.9,23,47.8,9.09999999999999
"made","Brandon Jennings",24.8,6.7,2,24.8,6.7
"made","D.J. Augustin",8.9,79.6,19,41.1,14.4
"made","D.J. Augustin",14.5,66,25,35.5,28
"made","Gerald Henderson",48.3,86.7,23,1.7,7.3
"made","Mike Dunleavy",3.6,21.7,27,3.6,21.7
"made","Kemba Walker",11.9,87.5,13,38.1,6.5
"made","Boris Diaw",26.3,87.1,2,23.7,6.90000000000001
"made","Kemba Walker",26.5,84.5,5,23.5,9.5
"made","Byron Mullens",27.8,87.9,3,22.2,6.09999999999999
"made","Gerald Henderson",25.1,87.1,2,24.9,6.90000000000001
"made","Brandon Jennings",22.9,6.4,3,22.9,6.4
"made","Matt Carroll",23.5,87.1,2,26.5,6.90000000000001
"made","Corey Maggette",16.3,73.3,18,33.7,20.7
"made","Andrew Bogut",24.4,8.3,3,24.4,8.3
"made","DJ White",32.8,73.6,17,17.2,20.4
"made","Brandon Jennings",0.9,10.6,25,0.9,10.6
"made","Byron Mullens",39,72.6,22,11,21.4
"made","Byron Mullens",34.2,70.4,21,15.8,23.6
"made","Stephen Jackson",4.1,21,26,4.1,21
"made","D.J. Augustin",25.8,89.9,1,24.2,4.09999999999999
"made","Shaun Livingston",24.1,9.5,5,24.1,9.5
"made","Andrew Bogut",23.7,6.7,2,23.7,6.7
"made","Gerald Henderson",44.2,86,19,5.8,8
